"Name","Unmodelled (BC/AD)",,,"Modelled (BC/AD)",,,"Indices
Amodel 12.9
Aoverall 9.7",
,"from","to","%","from","to","%","Acomb","A","L","P","C",
"Outlier_Model General",,,,"160","740","68.268949",,,,,98.3,
"T(5)","-1.14","1.14","68.268949",,,,,,,,77.4,
"U(0,4)","3.98986e-17","4","68.268949","2.372","2.78","68.268949",,100,,,58.7,
"Sequence",,,,,,,,,,,,
"Boundary TJG culture ends","-4510","-3800","68.268949","-4400","-4340","68.268949",,100,,,99.4,
"U(-4500,-3800)","-4510","-3800","68.268949",,,,,,,,,
"Sequence Daxi culture",,,,,,,,,,,,
"Boundary Daxi I begins",,,,"-4390","-4330","68.268949",,,,,99.4,
"Phase Early Daxi culture",,,,,,,,,,,,
"Sequence CTS southarea",,,,,,,,,,,,
"R_Date CTS-42","-4040","-3960","68.26894899999999","-4370","-4320","68.268949",,5.4,,,99.6,
"R_Combine CTS-10&CTS-41","-4350","-4250","68.268949","-4350","-4320","68.268949",,93.5,,98.7,99.9,
"Phase level 23",,,,,,,,,,,,
"Sequence level 23",,,,,,,,,,,,
"R_Combine CTS-9&CTS-40","-4360","-4250","68.26894899999999","-4350","-4280","68.26894899999999",,118.2,,99.2,99.8,
"R_Combine CTS-8&CTS-39","-4450","-4340","68.268948","-4340","-4270","68.26894899999999",,15.5,,87.9,99.9,
"Phase level 23 part 2",,,,,,,,,,,,
"R_Combine CTS-7&CTS-38","-4320","-4060","68.268949","-4320","-4290","68.268949",,77.9,,97.9,100,
"R_Combine CTS-6&CTS-37","-4320","-4070","68.26895","-4320","-4290","68.268949",,101.9,,98.6,100,
"Phase level 22",,,,,,,,,,,,
"R_Combine CTS-5&CTS-36","-4350","-4260","68.26894899999999","-4290","-4260","68.268949",,111.1,,99.3,100,
"R_Combine CTS-4&CTS-35","-4450","-4250","68.268948","-4290","-4250","68.268949",,120.9,,98.8,100,
"R_Combine CTS-3&CTS-34","-4350","-4250","68.26894899999999","-4290","-4250","68.268949",,115.1,,99.3,100,
"R_Combine CTS-2&CTS-33","-4330","-4060","68.26895","-4270","-4220","68.268949",,119.3,,98.8,99.9,
"R_Combine CTS-1&CTS-32","-4330","-4070","68.26894999999999","-4260","-4170","68.26894899999999",,106.8,,98.5,99.8,
"Phase unknown context early Daxi",,,,,,,,,,,,
"Phase CTS JT",,,,,,,,,,,,
"R_Date CTS-15","-4370","-4250","68.26894899999999","-4360","-4260","68.26894899999999",,113.9,,98.8,99.8,
"R_Date CTS-14","-4340","-4170","68.268949","-4330","-4240","68.268949",,119.4,,98.8,99.9,
"R_Date CTS-13","-4350","-4250","68.26894899999999","-4340","-4250","68.268949",,112.2,,98.9,99.9,
