"Name","Unmodelled (BC/AD)",,,"Modelled (BC/AD)",,,"Indices
Amodel 26.3
Aoverall 28.2",
,"from","to","%","from","to","%","Acomb","A","L","P","C",
"Outlier_Model General",,,,"-2760","-2420","68.2",,,,,96.8,
"T(5)","-1.135","1.135","68.2",,,,,,,,40.8,
"U(0,4)","3.98986e-17","4","68.2","3.108","3.66","68.2",,100,,,33.2,
"Sequence GMS",,,,,,,,,,,,
"Boundary Daxi I begins","-4510","-3300","68.2","-3770","-3650","68.2",,100,,,98.8,
"U(-4500,-3300)","-4510","-3300","68.2",,,,,,,,,
"Sequence Daxi I",,,,,,,,,,,,
"R_Date GMS-4","-3780","-3530","68.2","-3760","-3640","68.2",,124.1,,99.6,99,
"R_Date GMS-10","-3940","-3650","68.19999999999999","-3730","-3630","68.2",,111.8,,99.5,99.2,
"Boundary Daxi I ends",,,,"-3720","-3620","68.2",,,,,99.4,
"Boundary Daxi II begins",,,,"-3680","-3590","68.2",,,,,99.8,
"Phase Daxi II",,,,,,,,,,,,
"R_Date GMS-9","-4230","-3540","68.2","-3660","-3570","68.2",,84.5,,98.8,99.9,
"R_Date GMS-7","-4250","-3700","68.2","-3660","-3570","68.2",,51.5,,98,99.8,
"R_Date GMS-1","-6360","-6070","68.2","-3650","-3570","68.2",,5.5,,,99.9,
"R_Date GMS-2","-3620","-3110","68.2","-3640","-3580","68.2",,54,,94.8,99.9,
"Boundary Daxi II ends",,,,"-3630","-3560","68.2",,,,,99.9,
"Boundary Daxi III begins",,,,"-3600","-3530","68.2",,,,,99.9,
"Phase Daxi III",,,,,,,,,,,,
"R_Date GMS-3","-3770","-3630","68.2","-3580","-3520","68.2",,47.4,,98.6,99.9,
"R_Date GMS-6","-3660","-3370","68.2","-3590","-3520","68.2",,135.7,,99.7,99.9,
"Boundary Daxi III ends",,,,"-3580","-3490","68.2",,,,,99.8,
"Boundary Daxi IV begins",,,,"-3550","-3360","68.2",,,,,99.1,
"Phase Daxi IV",,,,,,,,,,,,
"R_Date GMS-5","-3630","-3120","68.2","-3530","-3340","68.2",,133.7,,99.5,98.4,
"R_Date GMS-8","-3490","-3100","68.1","-3520","-3330","68.2",,80.2,,99,98.5,
"Boundary Daxi ends",,,,"-3520","-3310","68.2",,,,,97.2,
