"Name","Unmodelled (BC/AD)",,,"Modelled (BC/AD)",,,"Indices
Amodel 3.8
Aoverall 4.5",
,"from","to","%","from","to","%","Acomb","A","L","P","C",
"Outlier_Model General",,,,"-4030","-170","68.26895",,,,,94.9,
"T(5)","-1.14","1.14","68.268949",,,,,,,,69.4,
"U(0,4)","3.98986e-17","4","68.268949","2.868","3.204","68.268949",,100,,,5.3,
"Sequence model of Middle Yangtze 19.2.2020",,,,,,,,,,,,
"Boundary Start",,,,"-4390","-4320","68.268949",,,,,98.4,
"KDE_Model TJG culture",,,,,,,,,,,99.4,
"N TJG culture_Kernel","-1.03","1.03","68.268949","-1","1","68.268949",,100,,,99.9,
"U TJG culture_Scale","9.97466e-18","1","68.268949","0.292","1","68.268949",,100,,,71.5,
"Phase Tangjiagang culture",,,,,,,,,,,,
"Sequence TJG northarea",,,,,,,,,,,,
"R_Date TJG-9","-4360","-4260","68.268949","-4350","-4320","68.268949",,111.5,,99.5,99.7,
"R_Date TJG-8","-4320","-4060","68.26894999999999","-4330","-4290","68.268949",,88.4,,97,99.9,
"Phase H41 H43",,,,,,,,,,,,
"R_Date TJG-16","-4450","-4330","68.26894899999999","-4290","-4260","68.268949",,18.8,,97.4,100,
"R_Date TJG-17","-4450","-4270","68.26894899999999","-4290","-4260","68.268949",,38.5,,99,99.9,
"R_Date TJG-7","-4350","-4250","68.26894999999999","-4280","-4250","68.268949",,94.6,,98.5,99.9,
"Phase HG1 layer2",,,,,,,,,,,,
"R_Date TJG-12","-3950","-3790","68.26894899999999","-3960","-3900","68.268949",,109.5,,97.1,99.9,
"R_Date TJG-13","-4840","-4720","68.268949","-4250","-3990","68.268949",,5.5,,,91.4,
"Phase HG1 layer1",,,,,,,,,,,,
"R_Date TJG-10","-3910","-3700","68.26895","-3940","-3860","68.268949",,80.3,,99.2,99.9,
"R_Date TJG-11","-3960","-3800","68.26894899999999","-3930","-3830","68.26894899999999",,106.6,,99.6,99.9,
"Sequence TJG southarea",,,,,,,,,,,,
